new_header	new_type	legacy_type	file	line	matched_pattern	text
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/server/net/event_source.cpp	112	\b(?:karma::)?common::serialization::Value\b	bool ReadUint32(const karma::common::serialization::Value& value, const char* key, uint32_t* out) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/server/net/event_source.cpp	132	\b(?:karma::)?common::serialization::Value\b	bool ReadFloat(const karma::common::serialization::Value& value, const char* key, float* out) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/server/net/event_source.cpp	144	\b(?:karma::)?common::serialization::Value\b	bool ReadBool(const karma::common::serialization::Value& value, const char* key, bool* out) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	91	\b(?:karma::)?common::serialization::Value\b	bool InitializeConfigForEvents(const karma::common::serialization::Value& startup_events, const char* suffix) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	816	\b(?:karma::)?common::serialization::Value\b	"{karma::common::serialization::Value{{""type"", ""join""}, {""atSeconds"", 0.0}, {""clientId"", 23}}});"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	844	\b(?:karma::)?common::serialization::Value\b	"{karma::common::serialization::Value{{""type"", ""join""}, {""atSeconds"", 0.0}, {""clientId"", 24}}});"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	862	\b(?:karma::)?common::serialization::Value\b	"{karma::common::serialization::Value{{""type"", ""join""}, {""atSeconds"", 0.000}, {""clientId"", 2}, {""playerName"", ""mike""}},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	863	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""request_spawn""}, {""atSeconds"", 0.005}, {""clientId"", 2}},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	864	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""player_location""},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	875	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""create_shot""},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	885	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""leave""}, {""atSeconds"", 0.015}, {""clientId"", 2}}});"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	930	\b(?:karma::)?common::serialization::Value\b	"{karma::common::serialization::Value{{""type"", ""leave""}, {""atSeconds"", 0.030}, {""clientId"", 4}},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	931	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""create_shot""},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	941	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""join""}, {""atSeconds"", 0.020}, {""clientId"", 4}, {""playerName"", ""delta""}},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	942	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""request_spawn""}, {""atSeconds"", -5.0}, {""clientId"", 4}}});"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	977	\b(?:karma::)?common::serialization::Value\b	"{karma::common::serialization::Value{{""type"", ""join""}, {""atSeconds"", 0.0}, {""clientId"", 9}, {""playerName"", ""valid""}},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	978	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""request_spawn""}, {""atSeconds"", 0.0}},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	979	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""create_shot""},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	989	\b(?:karma::)?common::serialization::Value\b	"karma::common::serialization::Value{{""type"", ""unknown""}, {""atSeconds"", 0.0}, {""clientId"", 9}}});"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/tests/server_net_contract_test.cpp	1011	\b(?:karma::)?common::serialization::Value\b	"{karma::common::serialization::Value{{""type"", ""join""},"
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/config.cpp	14	\b(?:karma::)?common::serialization::Value\b	const karma::common::serialization::Value* getValue(const char* path) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.cpp	56	\b(?:karma::)?common::serialization::Value\b	const karma::common::serialization::Value *UiConfig::GetCommunityCredentials() {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.cpp	60	\b(?:karma::)?common::serialization::Value\b	bool UiConfig::SetCommunityCredentials(const karma::common::serialization::Value &value) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.cpp	68	\b(?:karma::)?common::serialization::Value\b	std::optional<karma::common::serialization::Value> UiConfig::GetKeybindings() {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.cpp	72	\b(?:karma::)?common::serialization::Value\b	bool UiConfig::SetKeybindings(const karma::common::serialization::Value &value) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.cpp	80	\b(?:karma::)?common::serialization::Value\b	std::optional<karma::common::serialization::Value> UiConfig::GetControllerKeybindings() {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.cpp	84	\b(?:karma::)?common::serialization::Value\b	bool UiConfig::SetControllerKeybindings(const karma::common::serialization::Value &value) {
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.cpp	149	\b(?:karma::)?common::serialization::Value\b	const karma::common::serialization::Value array = karma::common::serialization::Array({value[0], value[1], value[2], value[3]});
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.cpp	154	\b(?:karma::)?common::serialization::Value\b	const karma::common::serialization::Value array = karma::common::serialization::Array({value[0], value[1], value[2], value[3]});
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.hpp	29	\b(?:karma::)?common::serialization::Value\b	static const karma::common::serialization::Value *GetCommunityCredentials();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.hpp	30	\b(?:karma::)?common::serialization::Value\b	static bool SetCommunityCredentials(const karma::common::serialization::Value &value);
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.hpp	33	\b(?:karma::)?common::serialization::Value\b	static std::optional<karma::common::serialization::Value> GetKeybindings();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.hpp	34	\b(?:karma::)?common::serialization::Value\b	static bool SetKeybindings(const karma::common::serialization::Value &value);
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.hpp	37	\b(?:karma::)?common::serialization::Value\b	static std::optional<karma::common::serialization::Value> GetControllerKeybindings();
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/config/ui_config.hpp	38	\b(?:karma::)?common::serialization::Value\b	static bool SetControllerKeybindings(const karma::common::serialization::Value &value);
m-kconfig/include/kconfig/json.hpp	Value	karma::common::serialization::Value	m-bz3/src/ui/controllers/bindings_controller.cpp	58	\b(?:karma::)?common::serialization::Value\b	const karma::common::serialization::Value *bindingsNode = nullptr;
